Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,Against Sales Invoice no.,Narration,Quantity,Rate,Value,Gross Total,ledger_id
O-tec,Surat,2026-01,debit note,13/01/2026,LOTUS KNITS,GST DEBIT NOTE,DN/25-26/50,INK/25-26/6955,BEING DEBIT NOTE ISSUE OF RS.50/-+GST FOR 40KGS INK AGAINST INVOICE NO.INK/25-26/6955,,,,2360.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000f00
O-tec,Surat,2026-01,debit note,16/01/2026,PIONEER DYEING PVT LTD,GST DEBIT NOTE,DN/25-26/51,,"BEING EXP. BOOKED AGAINST PIONEER -DIRECT K64 MACHINE -J M BAXI INVOICE NO.IMP0026751-2526(99540/- + gst) = 117457/-, 2947/- PAID BY BALAJI SHIPPING AND 1990/- TDS AND 112520/- PAID BY ORANGE",,,,17917.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010e8
O-tec,Surat,2026-01,debit note,19/01/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/52,,BEING 8 TON INK DEBIT NOTE ISSUED 5% CLEARENCE CHARGES,,,,143226.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-01,debit note,19/01/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/53,,BEING DEBIT NOTE ISSUED FOR CENTRING DEVICE AGAINST INVOICE NO.MC/25-26/80 DT:02.10.25,,,,224468.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-01,debit note,19/01/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/54,MC/25-26/62,BEING DEBIT NOTE ISSUED FOR K64 MACHINE AGAINST INVOICE NO.MC/25-26/62 DT:19.08.25,,,,446355.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-01,debit note,19/01/2026,M/S. JINDAL TEXOFAB LTD- MACHINE,GST DEBIT NOTE,DN/25-26/55,,BEING DEBIT NOTE ISSUED,,,,102314.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000fc3
O-tec,Surat,2026-01,debit note,19/01/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/57,,BEING DEBIT NOTE ISSUED AGAINST  22 PCS PRINTHEAD,,,,59846.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-01,debit note,21/01/2026,SIDDHIVINAYAK TEXSPIN PRIVATE LIMITED,GST DEBIT NOTE,DN/25-26/58,,BEING CHEMICAL RATE DIFF REVERSED DEBIT NOTE ISSUED,,,,14160.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00006f89
O-tec,Surat,2026-01,debit note,24/01/2026,INDOCOUNT INDUSTRIES LTD,GST DEBIT NOTE,DN/25-26/59,,BEING HEAD DEBIT NOTE ISSUED HEAD SR NO.232M-5386,,,,247800.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000da5
O-tec,Surat,2026-01,debit note,24/01/2026,PIONEER DYEING PVT LTD,GST DEBIT NOTE,DN/25-26/60,,,,,,637.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010e8
O-tec,Surat,2026-02,debit note,10/02/2026,GIRDHAR PRINTS PRIVATE LIMITED,GST DEBIT NOTE,DN/25-26/61,,"As confirmed by Nakul ji, we need to raise a Debit Note (DN) to Girdhar Prints for 50,000 + GST for the use of our new head board for 4 months.",,,,59000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00002f88
O-tec,Surat,2026-02,debit note,12/02/2026,DIGITO FAB,GST DEBIT NOTE,DN/25-26/62,,AGAINST INVOICE NO.INK/25-26/6889 DT:03.12.25,,,,6343.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000070a9
O-tec,Surat,2026-02,debit note,19/02/2026,SWASTIK DIGITAL,GST DEBIT NOTE,DN/25-26/63,,"Kindly issue a DN of ?1,27,500 + GST(50% of the new head amount at the special rate of ?2,55,000 + GST",,,,150450.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000013dd
O-tec,Surat,2026-02,debit note,19/02/2026,KALA  ART TRENDZ,GST DEBIT NOTE,DN/25-26/64,,BEING 50% SPARE PARTS VALUE DEBIT NOTE ISSUED OLD INVOICE AGAINST INVOICE NO.SPARE/24-25/790 // SPARE/24-25/1316 // SPARE/24-25/1318 // SPARE/25-26/254,,,,22273.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e53
O-tec,Surat,2026-02,debit note,26/02/2026,SIDDHIVINAYAK TEXART PRIVATE LIMITED,GST DEBIT NOTE,DN/25-26/65,,BEING INK DEBIT NOTE ISSUED AGAINST REACTIVE H SERIES INK 1770KGS@10/- FOR THE MONTH OF AUG-25 (22.08.25) TO FAB-26,,,,20886.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000036e4
O-tec,Surat,2026-03,debit note,05/03/2026,SHRUTI FASHIONS PVT. LTD.,GST DEBIT NOTE,DN/25-26/66,SPARE/24-25/2094,,,,,86881.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00001338
O-tec,Surat,2026-03,debit note,05/03/2026,SHRUTI FASHIONS PVT. LTD.,GST DEBIT NOTE,DN/25-26/67,,,,,,144801.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00001338
